Disease,Sex,Age_Group,Count
"Intrauterine hypoxia, birth asphyxia and other respiratory disorders originating in the perinatal period (P20-P28)",Female,(<1),2741
Haemolytic disease of fetus and new born (P55),Male,(<1),140
Haemolytic disease of fetus and new born (P55),Female,(<1),161
"Other conditions originating in the perinatal period (P08,P29,P35.1-P39,P50-P54,P56-P96)",Male,(<1),11499
"Other conditions originating in the perinatal period (P08,P29,P35.1-P39,P50-P54,P56-P96)",Female,(<1),10489
"Congenital hydrocephalus and spina bifida (Q03,Q05)",Male,(<1),69
"Congenital hydrocephalus and spina bifida (Q03,Q05)",Female,(<1),60
"Other congenital malformations of the nervous system (Q00-Q02,Q04,Q06,Q07)",Male,(<1),53
"Other congenital malformations of the nervous system (Q00-Q02,Q04,Q06,Q07)",Female,(<1),46
Congenital malformations of the circulatory system (Q20-Q28),Male,(<1),737
Congenital malformations of the circulatory system (Q20-Q28),Female,(<1),640
Cleft lip and cleft palate (Q35-Q37),Male,(<1),300
Cleft lip and cleft palate (Q35-Q37),Female,(<1),252
"Other congenital malformations and deformations (Q10-Q18,Q30-Q34,Q38-Q89)",Male,(<1),1316
"Other congenital malformations and deformations (Q10-Q18,Q30-Q34,Q38-Q89)",Female,(<1),816
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",Male,(<1),72
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",Female,(<1),68
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Male,(<1),1423
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),Female,(<1),1037
Symptoms and signs involving the digestive system and abdomen (R10-R19),Male,(<1),1165
Symptoms and signs involving the digestive system and abdomen (R10-R19),Female,(<1),1181
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Male,(<1),275
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),Female,(<1),266
Fever of unknown origin (R50),Male,(<1),1493
Fever of unknown origin (R50),Female,(<1),1208
Headache (R51),Male,(<1),0
Headache (R51),Female,(<1),0
Senility (R54),Male,(<1),0
Senility (R54),Female,(<1),0
"Convulsions, not elsewhere classified (R56)",Male,(<1),2078
"Convulsions, not elsewhere classified (R56)",Female,(<1),1861
"Other signs and symptoms and abnormal clinical findings (R25-R49,R52,R53,R55,R57-R69)",Male,(<1),2606
"Other signs and symptoms and abnormal clinical findings (R25-R49,R52,R53,R55,R57-R69)",Female,(<1),2276
Abnormal findings in investigations not elsewhere classified (R70-R94),Male,(<1),85
Abnormal findings in investigations not elsewhere classified (R70-R94),Female,(<1),75
Ill-defined and unknown causes of mortality (R95-R99),Male,(<1),18
Ill-defined and unknown causes of mortality (R95-R99),Female,(<1),6
"Superficial injury (S00,S10,S20,S30,S40,S50,S60,S70,S80,S90, T00,T09.0,T11.0,T13.0,T14.0)",Male,(<1),805
"Superficial injury (S00,S10,S20,S30,S40,S50,S60,S70,S80,S90, T00,T09.0,T11.0,T13.0,T14.0)",Female,(<1),767
"Fractures (S02,S12,S22,S32,S42,S52,S62,S72,S82,S92, T02,T08,T10,T12,T14.2)",Male,(<1),194
"Fractures (S02,S12,S22,S32,S42,S52,S62,S72,S82,S92, T02,T08,T10,T12,T14.2)",Female,(<1),159
"Dislocations, sprains and strains (S03,S13,S23,S33,S43,S53,S63,S73,S83,S93, T03,T09.2,T11.2,T13.2,T14.3)",Male,(<1),35
"Dislocations, sprains and strains (S03,S13,S23,S33,S43,S53,S63,S73,S83,S93, T03,T09.2,T11.2,T13.2,T14.3)",Female,(<1),54
Injury to eye and orbit (S05),Male,(<1),69
Injury to eye and orbit (S05),Female,(<1),59
Intracranial injuries (S06),Male,(<1),89
Intracranial injuries (S06),Female,(<1),65
"Injury of other internal organs (S26,S27,S36,S37)",Male,(<1),28
"Injury of other internal organs (S26,S27,S36,S37)",Female,(<1),14
"Crushing injuries and traumatic amputations (S07,S08,S17,S18,S28,S38,S47,S48, S57,S58,S67,S68,S77,S78,S87,S88,S97,S98,T04,T05,   T09.6,T11.6,T13.6,T14.7)",Male,(<1),101
"Crushing injuries and traumatic amputations (S07,S08,S17,S18,S28,S38,S47,S48, S57,S58,S67,S68,S77,S78,S87,S88,S97,S98,T04,T05,   T09.6,T11.6,T13.6,T14.7)",Female,(<1),93
"Open wounds and injuries to blood vessels (S01,S11,S15,S21,S25,S31,S35,S41,S45, S51, S55,S61,S65,S71,S75,S81,S85,S91,S95,T01,T06.3,T09.1,T11.1,T11.4,T13.1,  T13.4,  T14.1,  T14.5)",Male,(<1),674
"Open wounds and injuries to blood vessels (S01,S11,S15,S21,S25,S31,S35,S41,S45, S51, S55,S61,S65,S71,S75,S81,S85,S91,S95,T01,T06.3,T09.1,T11.1,T11.4,T13.1,  T13.4,  T14.1,  T14.5)",Female,(<1),551
"Injuries to nerves (S04,S14,S24,S34,S44,S54,  S64,S74,S84,S94,T06.2, T11.3,T13.3,T14.4)",Male,(<1),13
"Injuries to nerves (S04,S14,S24,S34,S44,S54,  S64,S74,S84,S94,T06.2, T11.3,T13.3,T14.4)",Female,(<1),5
Bitten or struck by dog (W54),Male,(<1),131
Bitten or struck by dog (W54),Female,(<1),111
"Other injuries of specified, unspecified and multiple body regions (S09,S16,S19,S29,S39,S46,S49,S56, S59,S66,S69,S76,S79, S86,S89,S96,S99,T06.0,T06.1,T06.4-T06.8, T07,T09.3-TO9.5,T09.8,T09.9,T11.5, T11.8,T11.9,T13.5,T13.8,T13.9, T14.6,T14.8,T14.9)",Male,(<1),878
"Other injuries of specified, unspecified and multiple body regions (S09,S16,S19,S29,S39,S46,S49,S56, S59,S66,S69,S76,S79, S86,S89,S96,S99,T06.0,T06.1,T06.4-T06.8, T07,T09.3-TO9.5,T09.8,T09.9,T11.5, T11.8,T11.9,T13.5,T13.8,T13.9, T14.6,T14.8,T14.9)",Female,(<1),817
Effects of foregin body entering through orifice (T15-T19),Male,(<1),343
Effects of foregin body entering through orifice (T15-T19),Female,(<1),360
Burns and corrosion confined to eye and adnexa (T26),Male,(<1),25
Burns and corrosion confined to eye and adnexa (T26),Female,(<1),14
"All other burns and corrosions (T20-T25,T27-T32)",Male,(<1),222
"All other burns and corrosions (T20-T25,T27-T32)",Female,(<1),174
"Poisoning by drugs, medicaments and biological substances (T36-T50)",Male,(<1),88
"Poisoning by drugs, medicaments and biological substances (T36-T50)",Female,(<1),104
Toxic effects of organophosphate and carbamate insecticides (T60.0),Male,(<1),19
Toxic effects of organophosphate and carbamate insecticides (T60.0),Female,(<1),25
Toxic effects of other pesticides (T60.1-T60.9),Male,(<1),25
Toxic effects of other pesticides (T60.1-T60.9),Female,(<1),26
Snake bites (T63.0),Male,(<1),88
Snake bites (T63.0),Female,(<1),60
"Toxic effects of other substances chiefly non medicinal as to source (T51-T59,T61,T62,T63.1-T63.9,T64,T65)",Male,(<1),211
"Toxic effects of other substances chiefly non medicinal as to source (T51-T59,T61,T62,T63.1-T63.9,T64,T65)",Female,(<1),161
"Other unspecified effects of external causes (T33-T35,T66-T78)",Male,(<1),460
"Other unspecified effects of external causes (T33-T35,T66-T78)",Female,(<1),350
Certain early complications of trauma (T79),Male,(<1),57
Certain early complications of trauma (T79),Female,(<1),43
Complications of surgical and medical care not elsewhere classified (T80-T88),Male,(<1),196
Complications of surgical and medical care not elsewhere classified (T80-T88),Female,(<1),188
"Sequelae of injuries, poisoning and of other consequences of external causes (T90-T98)",Male,(<1),36
"Sequelae of injuries, poisoning and of other consequences of external causes (T90-T98)",Female,(<1),43
"Persons encountering health services for examination, investigation and for specific procedures of health care (Z00-Z13,Z40-Z54)",Male,(<1),10051
"Persons encountering health services for examination, investigation and for specific procedures of health care (Z00-Z13,Z40-Z54)",Female,(<1),8539
Sterilization (Z30.2)(admissions only for sterilization),Male,(<1),0
Sterilization (Z30.2)(admissions only for sterilization),Female,(<1),0
Undiagnosed / Uncoded,Male,(<1),4597
Undiagnosed / Uncoded,Female,(<1),4570
Total,Male,(<1),107506
Total,Female,(<1),90463
Cholera (A00),Male,(1 - 4),0
Typhoid and para typhoid fever (A01),Male,(1 - 4),128
Typhoid and para typhoid fever (A01),Female,(1 - 4),109
Shigellosis (A03),Male,(1 - 4),326
Shigellosis (A03),Female,(1 - 4),285
Amoebiasis with liver abscess(A06.4),Male,(1 - 4),4
Amoebiasis with liver abscess(A06.4),Female,(1 - 4),7
"Amoebiasis others (A06.0-A06.3,A06.5-A06.9)",Male,(1 - 4),85
"Amoebiasis others (A06.0-A06.3,A06.5-A06.9)",Female,(1 - 4),90
"Food poisoning (A02.0,A05)",Male,(1 - 4),280
"Food poisoning (A02.0,A05)",Female,(1 - 4),311
Diarrhoea and gastroenteritis of presumed infectious origin (A09),Male,(1 - 4),14200
Diarrhoea and gastroenteritis of presumed infectious origin (A09),Female,(1 - 4),12761
"Other intestinal infectious diseases (A04,A07,A08)",Male,(1 - 4),670
"Other intestinal infectious diseases (A04,A07,A08)",Female,(1 - 4),620
"Tuberculosis of lung confirmed by sputum microscopy, culture,histologically or by unspecified means  (A15.0-A15.3)",Male,(1 - 4),7
"Tuberculosis of lung confirmed by sputum microscopy, culture,histologically or by unspecified means  (A15.0-A15.3)",Female,(1 - 4),2
Tuberculosis of lung not confirmed (A16-A16.2),Male,(1 - 4),4
Tuberculosis of lung not confirmed (A16-A16.2),Female,(1 - 4),8
Other Respiratory Tuberculosis confirmed bacteriologically and histologically   (A15.4-A15.9),Male,(1 - 4),20
Other Respiratory Tuberculosis confirmed bacteriologically and histologically   (A15.4-A15.9),Female,(1 - 4),22
Other Respiratory Tuberculosis not confirmed (A16.3-A16.9),Male,(1 - 4),8
Other Respiratory Tuberculosis not confirmed (A16.3-A16.9),Female,(1 - 4),3
Tuberculosis of nervous system (A17),Male,(1 - 4),0
Tuberculosis of nervous system (A17),Female,(1 - 4),1
Tuberculosis of other organs (A18),Male,(1 - 4),3
Tuberculosis of other organs (A18),Female,(1 - 4),3
Miliary tuberculosis (A19),Male,(1 - 4),0
Miliary tuberculosis (A19),Female,(1 - 4),1
Plague (A20),Male,(1 - 4),0
Plague (A20),Female,(1 - 4),0
Anthrax (A22),Male,(1 - 4),0
Anthrax (A22),Female,(1 - 4),0
Brucellosis (A23),Male,(1 - 4),0
Brucellosis (A23),Female,(1 - 4),1
Leptospirosis (A27),Male,(1 - 4),5
Leptospirosis (A27),Female,(1 - 4),8
Leprosy (A30),Male,(1 - 4),1
Leprosy (A30),Female,(1 - 4),1
Tetanus neonatorum (A33),Male,(1 - 4),0
Tetanus neonatorum (A33),Female,(1 - 4),0
Obsterical tetanus (A34),Male,(1 - 4),0
Obsterical tetanus (A34),Female,(1 - 4),0
Other tetanus (A35),Male,(1 - 4),19
Other tetanus (A35),Female,(1 - 4),14
Diphtheria (A36),Male,(1 - 4),0
Diphtheria (A36),Female,(1 - 4),0
Whooping cough(A37),Male,(1 - 4),6
Whooping cough(A37),Female,(1 - 4),1
Meningococcal infections (A39),Male,(1 - 4),7
Meningococcal infections (A39),Female,(1 - 4),17
"Septicaemia (A40,A41)",Male,(1 - 4),442
"Septicaemia (A40,A41)",Female,(1 - 4),374
"Other bacterial diseases (A21,A24-A26,A28,A31,A32,A38,A42-A49)",Male,(1 - 4),114
"Other bacterial diseases (A21,A24-A26,A28,A31,A32,A38,A42-A49)",Female,(1 - 4),84
Congenital Syphilis(A50),Male,(1 - 4),1
Congenital Syphilis(A50),Female,(1 - 4),1
Early Syphilis(A51),Male,(1 - 4),0
Early Syphilis(A51),Female,(1 - 4),0
Late Syphilis(A52),Male,(1 - 4),0
Late Syphilis(A52),Female,(1 - 4),0
Other and unspecified Syphilis(A53),Male,(1 - 4),0
Other and unspecified Syphilis(A53),Female,(1 - 4),0
Gonococcal infections (A54),Male,(1 - 4),0
Gonococcal infections (A54),Female,(1 - 4),0
Chlamydial lymphogranuloma (venereum)(A55),Male,(1 - 4),1
Chlamydial lymphogranuloma (venereum)(A55),Female,(1 - 4),0
Other sexually transmitted chlamydia diseases(A56),Male,(1 - 4),0
Other sexually transmitted chlamydia diseases(A56),Female,(1 - 4),0
Chancroid(A57),Male,(1 - 4),0
Chancroid(A57),Female,(1 - 4),0
Granuloma inguinale(A58),Male,(1 - 4),0
Granuloma inguinale(A58),Female,(1 - 4),2
Trichomoniasis(A59),Male,(1 - 4),0
Trichomoniasis(A59),Female,(1 - 4),0
Anogenital herpesviral (herpes simplex) infection(A60),Male,(1 - 4),1
Anogenital herpesviral (herpes simplex) infection(A60),Female,(1 - 4),0
"Other predominantly sexually transmitted diseases, not elsewhere classified(A63)",Male,(1 - 4),0
"Other predominantly sexually transmitted diseases, not elsewhere classified(A63)",Female,(1 - 4),0
Unspecified sexually transmitted disease(A64),Male,(1 - 4),0
Unspecified sexually transmitted disease(A64),Female,(1 - 4),0
Rabies (A82),Male,(1 - 4),2
Rabies (A82),Female,(1 - 4),0
Viral encephalitis (includes Japanese Encephalitis)       (A83-A86),Male,(1 - 4),20
Viral encephalitis (includes Japanese Encephalitis)       (A83-A86),Female,(1 - 4),15
Viral meningitis (A87),Male,(1 - 4),108
Viral meningitis (A87),Female,(1 - 4),111
Dengue fever (A90),Male,(1 - 4),843
Dengue fever (A90),Female,(1 - 4),746
Dengue haemorrhagic fever (A91),Male,(1 - 4),179
Dengue haemorrhagic fever (A91),Female,(1 - 4),195
"Other arthropod-borne viral fever and viral haemorrhagic fever (A92-A94,A96-A99)",Male,(1 - 4),314
"Other arthropod-borne viral fever and viral haemorrhagic fever (A92-A94,A96-A99)",Female,(1 - 4),348
Varicella (Chickenpox) (B01),Male,(1 - 4),109
Varicella (Chickenpox) (B01),Female,(1 - 4),80
Zoster (herpese zoster) (B02),Male,(1 - 4),25
Zoster (herpese zoster) (B02),Female,(1 - 4),23
Measles (B05),Male,(1 - 4),299
Measles (B05),Female,(1 - 4),181
Rubella (B06),Male,(1 - 4),0
Rubella (B06),Female,(1 - 4),2
Congenital rubella (P35.0),Male,(1 - 4),3
Congenital rubella (P35.0),Female,(1 - 4),0
Acute hepatitis A (B15),Male,(1 - 4),36
Acute hepatitis A (B15),Female,(1 - 4),20
Acute hepatitis B (B16),Male,(1 - 4),2
Acute hepatitis B (B16),Female,(1 - 4),0
"Chronic, other acute and unspecified viral hepatitis(B17-B19)",Male,(1 - 4),7
"Chronic, other acute and unspecified viral hepatitis(B17-B19)",Female,(1 - 4),18
Human immunodeficiency virus (HIV) (B20-B24),Male,(1 - 4),0
Human immunodeficiency virus (HIV) (B20-B24),Female,(1 - 4),1
Mumps (B26),Male,(1 - 4),99
Mumps (B26),Female,(1 - 4),122
"Other viral diseases(includes viral fever)(A81,A88,A89,B00,B03,B04,B07-09,B25,B27-B34)",Male,(1 - 4),21095
"Other viral diseases(includes viral fever)(A81,A88,A89,B00,B03,B04,B07-09,B25,B27-B34)",Female,(1 - 4),18885
Mycosis (B35-B49),Male,(1 - 4),101
Mycosis (B35-B49),Female,(1 - 4),89
Malaria (B50-B54),Male,(1 - 4),2
Malaria (B50-B54),Female,(1 - 4),1
Filariasis (B74),Male,(1 - 4),23
Filariasis (B74),Female,(1 - 4),14
"Helminthiasis (B76,B77,B79,B80)",Male,(1 - 4),44
"Helminthiasis (B76,B77,B79,B80)",Female,(1 - 4),32
Scabies (B86),Male,(1 - 4),116
Scabies (B86),Female,(1 - 4),93
Sequelae of infectious and parasitic diseases (B90-B94),Male,(1 - 4),12
Sequelae of infectious and parasitic diseases (B90-B94),Female,(1 - 4),10
"Other infectious and parasitic diseases (A02.1-A02.9,A65-A79,B55-B73,B75,B78,B81-B85,B87-B89,B95-B99)",Male,(1 - 4),341
"Other infectious and parasitic diseases (A02.1-A02.9,A65-A79,B55-B73,B75,B78,B81-B85,B87-B89,B95-B99)",Female,(1 - 4),328
"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Male,(1 - 4),12
"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",Female,(1 - 4),4
Malaignant neoplasm of oesophagus (C15),Male,(1 - 4),1
Malaignant neoplasm of oesophagus (C15),Female,(1 - 4),0
Malignant neoplasm of stomach (C16),Male,(1 - 4),0
Malignant neoplasm of stomach (C16),Female,(1 - 4),0
Malignant neoplasm of colon (C18),Male,(1 - 4),0
Malignant neoplasm of colon (C18),Female,(1 - 4),0
"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",Male,(1 - 4),0
"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",Female,(1 - 4),1
Malignant neoplasm of liver and intrahepatic bile duct (C22),Male,(1 - 4),24
Malignant neoplasm of liver and intrahepatic bile duct (C22),Female,(1 - 4),52
Malignant neoplasm of pancreas (C25),Male,(1 - 4),1
Malignant neoplasm of pancreas (C25),Female,(1 - 4),1
"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",Male,(1 - 4),0
"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",Female,(1 - 4),0
Malignant neoplasm of larnyx (C32),Male,(1 - 4),2
Malignant neoplasm of larnyx (C32),Female,(1 - 4),0
"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",Male,(1 - 4),4
"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",Female,(1 - 4),1
"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",Male,(1 - 4),5
"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",Female,(1 - 4),1
"Malignant neoplasm of bone and articular cartilage (C40,C41)",Male,(1 - 4),13
"Malignant neoplasm of bone and articular cartilage (C40,C41)",Female,(1 - 4),12
"Melanoma and other malignant neoplasm of skin (C43,C44)",Male,(1 - 4),3
"Melanoma and other malignant neoplasm of skin (C43,C44)",Female,(1 - 4),6
"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",Male,(1 - 4),54
"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",Female,(1 - 4),33
Malignant neoplasm of breast (C50),Male,(1 - 4),0
Malignant neoplasm of breast (C50),Female,(1 - 4),2
Malignant neoplasm of cervix uteri (C53),Male,(1 - 4),0
Malignant neoplasm of cervix uteri (C53),Female,(1 - 4),1
"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",Male,(1 - 4),0
"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",Female,(1 - 4),2
Malignant neoplasm of placenta (C58),Male,(1 - 4),0
Malignant neoplasm of placenta (C58),Female,(1 - 4),0
"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",Male,(1 - 4),0
"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",Female,(1 - 4),6
Malignant neoplasm of prostate (C61),Male,(1 - 4),0
Malignant neoplasm of prostate (C61),Female,(1 - 4),0
"Malignant neoplasm of other male genital organs (C60,C62,C63)",Male,(1 - 4),2
"Malignant neoplasm of other male genital organs (C60,C62,C63)",Female,(1 - 4),0
Malignant neoplasm of bladder (C67),Male,(1 - 4),0
Malignant neoplasm of bladder (C67),Female,(1 - 4),1
"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",Male,(1 - 4),28
"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",Female,(1 - 4),61
Malignant neoplasm of eye and adnexa (C69),Male,(1 - 4),59
Malignant neoplasm of eye and adnexa (C69),Female,(1 - 4),108
